ZONA;DISTRITO;PROVINCIA;CANTON;PARROQUIA;TIPO_EDUCACION;AMIE;LONGITUD;LATITUD;INSTITUCION;SOSTENIMIENTO;JURISDICCIÓN;RÉGIMEN;ZONA INEC;NIVEL DE EDUCACIÓN;Nro, de niños y niños de 3 y 4 años (AMIE 23-24);AUX_AÑO DE DOTACIÓN;AUX_T. IE;MD_AÑO DE DOTACIÓN;MD_PARALELOS;MD_MONTO USD$;M_AÑO DE DOTACIÓN;M_TIPO DE AMBIENTE;M_MONTO USD$;JE_AÑO DE DOTACIÓN;JE_CANTIDAD;JE_MONTO USD$;Aux_IE_Material
3;501;COTOPAXI;LATACUNGA;MULALO;Ordinario;500166;-7857533351;-0.729975047;UNIDAD EDUCATIVA GRAL LEONIDAS PLAZA GUTIERREZ;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB;22;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;501;COTOPAXI;LATACUNGA;POALO;Ordinario;500174;-7867267611;-0.883206016;UNIDAD EDUCATIVA POALO - GARCIA MORENO;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;18;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;501;COTOPAXI;LATACUNGA;SAN JUAN DE PASTOCALLE;Ordinario;500183;-7860949255;-0.71070344;UNIDAD EDUCATIVA  CORONEL GERMÃNICO RIBADENEIRA VALENCIA;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB;25;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;501;COTOPAXI;LATACUNGA;SAN JUAN DE PASTOCALLE;Ordinario;500184;-7859433538;-0.710225471;UNIDAD EDUCATIVA QUITO;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB;18;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;501;COTOPAXI;LATACUNGA;SAN JUAN DE PASTOCALLE;Ordinario;500185;-786301633;-0.617218479;UNIDAD EDUCATIVA ATANASIO VITERI KAROLYS;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;18;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;501;COTOPAXI;LATACUNGA;SAN JUAN DE PASTOCALLE;Ordinario;500186;-7863866562;-0.731690351;UNIDAD EDUCATIVA PASTOCALLE;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;68;2027;1;2027;3;8754.78;2027;3;4584.00;;;-;ML_Mo
3;501;COTOPAXI;LATACUNGA;SAN JUAN DE PASTOCALLE;Ordinario;500191;-7862013568;-0.723608264;ESCUELA DE EDUCACION BASICA RAFAEL CAJIAO ENRÃQUEZ;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB;15;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;501;COTOPAXI;LATACUNGA;TANICUCHI;Ordinario;500201;-7863683508;-0.779056645;UNIDAD EDUCATIVA MARCO AURELIO SUBIA MARTINEZ - BATALLA DE PANUPALI;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;133;2027;1;2027;6;17509.56;2027;6;9168.00;;;-;ML_Mo
3;501;COTOPAXI;LATACUNGA;TANICUCHI;Ordinario;500210;-7861755881;-0.756718327;UNIDAD EDUCATIVA JUAN MANUEL LASSO;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB;59;2027;1;2027;3;8754.78;2027;3;4584.00;2027;1;5748.00;ML_Mo_JE
3;501;COTOPAXI;LATACUNGA;TOACASO;Ordinario;500221;-7868309413;-0.756980075;UNIDAD EDUCATIVA TOACASO;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;67;2027;1;2027;3;8754.78;2027;3;4584.00;2027;1;5748.00;ML_Mo_JE
3;502;COTOPAXI;LA MANA;EL CARMEN;Ordinario;500240;-7921970778;-0.931935169;UNIDAD EDUCATIVA  FEDERACIÃ“N DEPORTIVA DE COTOPAXI;FISCAL;Intercultural;COSTA;Urbana;Inicial/EGB/Bachillerato;100;2027;1;2027;4;11673.04;2027;4;6112.00;2027;1;5748.00;ML_Mo_JE
3;502;COTOPAXI;LA MANA;LA MANA;Ordinario;500245;-7923160578;-0.942421987;UNIDAD EDUCATIVA LA MANA;FISCAL;Intercultural;COSTA;Urbana;Inicial/EGB/Bachillerato;179;2027;1;2027;7;20427.82;2027;7;10696.00;2027;1;5748.00;ML_Mo_JE
3;502;COTOPAXI;LA MANA;EL TRIUNFO;Ordinario;500286;-7927055035;-0.942315071;UNIDAD EDUCATIVA DR NESTOR MOGOLLON LOPEZ;FISCAL;Intercultural;COSTA;Urbana;Inicial/EGB/Bachillerato;42;2027;1;2027;2;5836.52;2027;2;3056.00;2027;1;5748.00;ML_Mo_JE
3;502;COTOPAXI;LA MANA;LA MANA;Ordinario;500287;-7922583976;-0.939507213;UNIDAD EDUCATIVA NARCISO CERDA MALDONADO;FISCAL;Intercultural;COSTA;Urbana;Inicial/EGB/Bachillerato;125;2027;1;2027;5;14591.30;2027;5;7640.00;;;-;ML_Mo
3;502;COTOPAXI;LA MANA;GUASAGANDA (CAB. EN GUASAGANDA CENTRO);Ordinario;500318;-791566977;-0.802991492;UNIDAD EDUCATIVA  GUASAGANDA;FISCAL;Intercultural;COSTA;Rural;Inicial/EGB/Bachillerato;24;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;503;COTOPAXI;PANGUA;MORASPUNGO;Ordinario;500399;-7926626534;-1108742463;UNIDAD  EDUCATIVA  GUAPARA;FISCAL;Intercultural;COSTA;Rural;Inicial/EGB/Bachillerato;47;2027;1;2027;3;8754.78;2027;3;4584.00;2027;1;5748.00;ML_Mo_JE
3;504;COTOPAXI;PUJILI;PUJILI;Ordinario;500472;-7869379692;-0.95815928;UNIDAD EDUCATIVA PUJILI;FISCAL;Intercultural;SIERRA;Urbana;Inicial/EGB/Bachillerato;48;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;504;COTOPAXI;PUJILI;LA VICTORIA;Ordinario;500550;-7869246769;-0.916905665;UNIDAD EDUCATIVA 14 DE OCTUBRE - VICENTE ROCAFUERTE;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;29;2027;1;2027;3;8754.78;2027;3;4584.00;2027;1;5748.00;ML_Mo_JE
